seed.source,pedigree,geno,year,rep,male,female,stand,midHeight,midWidth,height,width,flw,dlw,frw,drw
ST405-9,L7550A x P6139B,26,3,1,5,2,2,14.16666667,25.33333333,50.83333333,47,26.52,2.983333333,61.07,6.576666667
ST405-9,L7550A x P6139B,26,1,2,5,2,2,36.16666667,46.66666667,46.33333333,46,30.46666667,4.466666667,97.5,11.14
ST405-9,L7550A x P6139B,26,2,2,5,2,2.5,43.16666667,58.33333333,47.5,63.33333333,21.54333333,3.296666667,206.0966667,23.25
ST505-9,L7550A x P6139B,26,3,2,5,2,1.5,15,30.83333333,47.16666667,45.5,37.80666667,4.516666667,96.38666667,9.31
ST407-9,L7550A x 7262B,32,1,1,6,2,1,17.5,42,43.83333333,46.33333333,171.39,21.14,312,37.81
ST407-9,L7550A x 7262B,32,2,1,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST507-9,L7550A x 7262B,32,3,1,6,2,1.5,15,27.33333333,52,48.33333333,24.67666667,3.033333333,48.32666667,5.82
ST407-9,L7550A x 7262B,32,1,2,6,2,1,17,46,35.5,52,123.51,19.61,315,41.25
ST407-9,L7550A x 7262B,32,2,2,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA
ST507-9,L7550A x 7262B,32,3,2,6,2,1.5,18.66666667,32.5,46.83333333,52.66666667,37.69,4.853333333,69.5,7.84
ST404-2,(P.S.C. x P0159B) x L6038B,3,1,1,1,3,3,35.5,44.33333333,45.33333333,55.5,22.55333333,3.253333333,96,13.90333333
ST404-2,(P.S.C. x P0159B) x L6038B,3,2,1,1,3,1,42,59.66666667,41.33333333,57.66666667,27.99666667,4.95,205.5633333,24.30333333
ST404-2,(P.S.C. x P0159B) x L6038B,3,3,1,1,3,2.5,24.66666667,33.5,50.16666667,52,33.37,3.706666667,70.87666667,9.213333333
ST404-2,(P.S.C. x P0159B) x L6038B,3,1,2,1,3,2,33.16666667,46.66666667,44.16666667,52.33333333,24.65333333,3.376666667,91.87666667,11.19666667
ST404-2,(P.S.C. x P0159B) x L6038B,3,2,2,1,3,1.5,43.83333333,64.33333333,46,62.33333333,52.1,9.03,256.34,36.59666667
ST404-2,(P.S.C. x P0159B) x L6038B,3,3,2,1,3,2.5,23,35,43.5,48,23.72,2.62,63.7,8.98
ST408-2,(P.S.C. x P0159B) x L7550B,9,1,1,2,3,2,40.33333333,49.33333333,49.33333333,60.33333333,26.31,3.663333333,106.0666667,15.27
ST408-2,(P.S.C. x P0159B) x L7550B,9,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST408-2,(P.S.C. x P0159B) x L7550B,9,3,1,2,3,2,21,25.66666667,40.83333333,40.66666667,16.33333333,1.723333333,48.26,5.766666667
ST408-2,(P.S.C. x P0159B) x L7550B,9,1,2,2,3,2,34.5,45.16666667,46,52.66666667,20.66333333,3.2,87.56666667,13.98666667
ST408-2,(P.S.C. x P0159B) x L7550B,9,2,2,2,3,1.5,43,63.66666667,48.33333333,58.66666667,22.07,3.666666667,150.0133333,18.97
ST408-2,(P.S.C. x P0159B) x L7550B,9,3,2,2,3,1,13,24.66666667,30.66666667,38.33333333,69.985,9.695,177.465,22.185
ST401-1,P0159B,15,1,1,3,3,1,18.33333333,28.66666667,39.5,45.5,58.58666667,7.486666667,81.1,9.796666667
ST401-1,P0159B,15,2,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST401-1,P0159B,15,3,1,3,3,1,9.666666667,15.66666667,39.16666667,38,54.99666667,6.373333333,44.69,4.976666667
ST401-1,P0159B,15,1,2,3,3,1,19.33333333,33.33333333,35.16666667,35.33333333,46.3,5.53,68.3,8.7
ST401-1,P0159B,15,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
ST401-1,P0159B,15,3,2,3,3,1,11.16666667,18.5,36.33333333,30.66666667,59.67,7.21,65.41666667,7.286666667
ST403-2,(P.S.C. x P0159B) x Nbh2189B,21,1,1,4,3,2,35.66666667,50.16666667,58,68.5,61.22333333,8.07,146.93,20.1
ST403-2,(P.S.C. x P0159B) x Nbh2189B,21,2,1,4,3,1,52,44.33333333,48.75,77,57.12666667,10.41333333,263.7566667,36.96666667
ST403-2,(P.S.C. x P0159B) x Nbh2189B,21,3,1,4,3,1.5,22,33.66666667,50.5,53.33333333,42.14666667,5.283333333,80.37333333,10.62
ST403-2,(P.S.C. x P0159B) x Nbh2189B,21,1,2,4,3,1,38.16666667,54.16666667,54.33333333,66.5,53.18,7.73,186.855,36.89
ST403-2,(P.S.C. x P0159B) x Nbh2189B,21,2,2,4,3,1,50,51,29,43,47.62,10.17,295.44,36.09
ST403-2,(P.S.C. x P0159B) x Nbh2189B,21,3,2,4,3,1,18,28.75,34.75,35,77.47,13.475,173.51,22
ST405-2,(P.S.C. x P0159B) x P6139B,27,1,1,5,3,2,36.33333333,38.33333333,46.33333333,53,39.47,5.85,117.3,17.07666667
ST405-2,(P.S.C. x P0159B) x P6139B,27,2,1,5,3,1,37.5,38,46.5,42,46,7.37,234.41,27.37
ST405-2,(P.S.C. x P0159B) x P6139B,27,3,1,5,3,2,21.66666667,32.66666667,62.83333333,52.16666667,52.93,6.253333333,88.02666667,10.94333333
ST405-2,(P.S.C. x P0159B) x P6139B,27,1,2,5,3,2,44.33333333,49.83333333,55,50.66666667,42.92333333,5.553333333,114.7666667,14.80666667
ST405-2,(P.S.C. x P0159B) x P6139B,27,2,2,5,3,2,53.83333333,56,50.66666667,54.66666667,31.37,4.503333333,229.8733333,25.65
ST405-2,(P.S.C. x P0159B) x P6139B,27,3,2,5,3,1.5,29,37,64.66666667,55.66666667,46.63666667,5.513333333,80.18666667,9.166666667
ST407-2,(P.S.C. x P0159B) x 7262B,33,1,1,6,3,2,42,49.16666667,59.16666667,61.33333333,88.15,11.89,123.5566667,18.54
ST407-2,(P.S.C. x P0159B) x 7262B,33,2,1,6,3,1,40.5,38.66666667,45.16666667,45,41.94333333,7.586666667,161.1166667,22.00666667
ST407-2,(P.S.C. x P0159B) x 7262B,33,3,1,6,3,1.5,19.33333333,28,66.66666667,59,61.64666667,8.14,49.09333333,7.17
ST407-2,(P.S.C. x P0159B) x 7262B,33,1,2,6,3,2,48,53.66666667,58.5,57.16666667,54.04333333,7.503333333,83.92666667,13.41333333
ST407-2,(P.S.C. x P0159B) x 7262B,33,2,2,6,3,1,58.16666667,62.5,58.5,68.33333333,110.37,20.55,397.78,61.215
ST407-2,(P.S.C. x P0159B) x 7262B,33,3,2,6,3,2,28.83333333,33.5,72,70,55.98,7.58,65.95,9.636666667
ST404-4,(S.C. x Nbh2189B) x L6038B,4,1,1,1,4,3,33.33333333,48.5,31.16666667,54,9.496666667,1.533333333,55.6,6.673333333
